Category,Capability,AOD,AAM,DCL,NLQ,AOA,FARM,Platform,Status,Scope,Notes
Triage & Prioritization,Asset prioritization scoring,A/R,,,,,,,Live,SE/ME,
Triage & Prioritization,Provisioning status assignment,A/R,,,,,,,Live,SE/ME,
Triple Store,Domain-based organization (concept prefix),,,A/R,,,,C,Live,SE/ME,19 verified domains. First segment of concept name. Used for retrieval filtering
Triple Store,Provenance tracking (per-triple),,,A/R,,,C,,Live,SE/ME,"source_system, source_field, confidence_score, confidence_tier, pipe_id, run_id, created_at"
Triple Store,"Semantic triple storage (entity, concept, property, value, period)",,,A/R,C,,C,C,Live,SE/ME,"All data as triples in Postgres. Dot-separated concept hierarchy. 9,350+ base + 124K BlueWave HR + 1,176 COFA"
Triple Store,Triple conversion (Farm output → PG),,,C,,,A/R,,Live,SE/ME,Farm generates model data → converts to triples → writes to PG direct. Bypasses old DCL ingest
Triple Store,Triple ingest endpoint (POST /api/dcl/ingest-triples),,,A/R,,,C,,Live,SE/ME,Validates and writes triples to PG. Used for COFA write-back path
Triple Store,V2 engine stack (8 engines on triple store),,,A/R,C,,,,Live,SE/ME,8 v2 engines reading from semantic triple store. Old JSON engines present via compat layer
Trust & Security,Injection defense,,,,,A/R,I,,Live,SE/ME,
Trust & Security,PII detection & redaction,,,,,A/R,I,,Live,SE/ME,
Trust & Security,Policy enforcement,,,,,A/R,C,,Live,SE/ME,
Verification,Accuracy Measurement,C,C,,,,A/R,,Live,SE/ME,Consolidated from Truth/Reconciliation per G2
Verification,End-to-End Injection Tests,,I,I,,,A/R,,Live,SE/ME,"Farm pushes to DCL, verifies at DCL"
Verification,Generate Test Data,,I,,,,A/R,,Live,SE/ME,
Verification,Ground Truth Validation,C,C,C,,,A/R,,Live,SE/ME,FARM is Test Oracle
Verification,Provide Source of Truth,,C,,,,A/R,,Live,SE/ME,
Verification,Verify Against Truth,,C,,,,A/R,,Live,SE/ME,
Visualization,4-Layer Sankey Graph,,,A/R,,,I,,Live,SE/ME,Pipeline→Sources→Ontology→Personas
Visualization,Chart Generation,,,,A/R,,I,,Live,SE/ME,"Line, bar, area, pie, stacked, waterfall"
Visualization,Dashboard Generation,,,,A/R,,I,,Live,SE/ME,Dynamic widget schemas from intent
Visualization,Dashboard Refinement Actions,,,,A/R,,I,,Live,SE/ME,"'Add a chart', 'Show by region'"
Visualization,Galaxy Visualization,,,,A/R,,I,,Live,SE/ME,Node-based with related metrics
Visualization,Monitor Dashboard,,,A/R,,,I,,Live,SE/ME,Collapsible right panel
Visualization,Persona-Based Filtering,,,A/R,,,I,,Live,SE/ME,CFO/CRO/COO/CTO buttons
Visualization,Telemetry Ribbon,,,A/R,,,I,,Live,SE/ME,
Visualization,Terminal Narration,,,A/R,,,I,,Live,SE/ME,Real-time processing log
Visualization,Topology API Exposure,,I,A/R,,,,,Live,SE/ME,Backend for Graph UI
Workflow Orchestration,Run cancellation,,,,,A,R,,Live,SE/ME,
Workflow Orchestration,Run creation & tracking,,,,,A/R,R,,Live,SE/ME,
Workflow Orchestration,Step sequencing,,,,,A/R,C,,Live,SE/ME,
,,,,,,,,,,,
SE- Single Entity state,,,,,,,,,,,
ME - Multi-entity state,,,,,,,,,,,
